name,calories,protein,carbs,fat,category
Tamarind chutney (Chintapandu pachadi/Puli chutney),109.15,0.88,25.07,0.48,General
Pav bhaji masala,230.47,9.13,29.15,10.96,General
Green chutney,79.42,5.42,10.01,1.6,General
Sago khitchdi/khichri (Sabudana khitchdi/khichri),187.16,2.72,22.41,10.1,General
Gram flour chilla/cheela (Besan chilla/cheela),135.93,7.8,21.03,2.85,General
Vegetable namkeen jave,112.23,2.93,18.98,2.51,General
Khakhra,178.5,4.78,27.66,5.32,General
Moong bean dosa (Pesarattu),285.96,12.32,31.91,11.67,General
Methi thepla,346.16,8.98,41.34,15.95,General
Rice puttu (Ari puttu),81.98,1.26,11.82,3.13,General
Buckwheat pancake (Khura),263.3,2.91,27.28,16.43,General
Quinoa khichdi/khichri,64.01,3.18,8.83,1.59,General
Khakhra chaat,358.66,4.52,16.64,30.65,General
Banana appam,469.81,1.17,20.06,42.53,General
Veg manchurian,585.64,0.89,6.82,61.65,General
Pav bhaji,96.53,2.66,11.99,4.32,General
Rice murukku,593.99,5.41,33.29,48.22,General
Bhel puri ,509.89,3.52,16.47,47.91,General
Semolina dhokla (Suji/Rava dhokla),194.91,5.44,30.86,5.2,General
Spicy corn chaat ,479.8,4.61,11.45,46.55,General
Jackfruit fritters (Ponsa mulik/Kathal ka pakora),597.79,2.34,24.0,54.41,General
Banana chips (Kele ke chips),665.67,0.37,7.32,70.46,General
Wheat cake,314.63,4.79,41.13,14.95,General
Mango cheesecake,152.46,2.39,20.06,7.3,General
Carrot cake (Gajar ka cake),255.59,5.6,35.98,10.27,General
Semolina cake (Suji/Rava cake),374.14,6.58,31.32,25.18,General
Finger millet cake (Ragi cake),279.46,3.96,38.93,12.27,General
Honey cake,333.59,3.08,49.04,14.7,General
Almond cardamom cake (Badam elaichi cake),356.35,7.18,34.53,21.36,General
Tutti frutti cake,347.72,4.49,52.94,12.68,General
Ham and Bean soup,96.04,10.61,4.18,4.15,General
Whey soup,68.91,3.45,6.26,3.34,General
Bottle gourd soup (Ghiya/Lauki soup),23.05,0.45,1.16,1.79,General
Baked potato soup,147.05,5.73,5.85,11.21,General
Pumpkin soup,40.05,0.47,2.08,3.2,General
Sweet corn soup,32.25,0.99,3.56,1.63,General
Paneer soup,47.85,3.22,2.42,2.8,General
Curried Cauliflower soup,37.32,6.72,3.12,9.77,General
Millet soup,55.99,11.26,8.22,12.57,General
Lemon coriander soup,108.06,2.27,10.32,6.26,General
Garlic soup,194.86,2.38,6.99,17.62,General
Dal makhani,74.04,3.32,7.96,3.06,General
Dalma,118.93,4.91,15.04,4.58,General
Split bengal gram dal (Channa dal),99.67,4.15,9.99,4.62,General
Horsegram dal (Kulthi dal) ,55.65,2.91,8.21,1.13,General
Panchmel dal,111.22,4.63,10.71,5.36,General
Dal dhokli,68.74,2.96,8.55,2.47,General
Gujarati handvo ,207.09,8.24,31.86,4.8,General
Sev (Omapodi/Karapusa),609.14,5.12,12.87,60.08,General
Papdi,708.96,1.83,12.89,72.11,General
Jowar dosa,294.35,8.5,40.53,10.28,General
Bread roll,435.46,2.85,16.12,40.25,General
Soya seekh kebab,115.05,5.4,10.0,5.88,General
Classic seasoned black beans,28.78,8.01,7.66,8.28,General
Maa chaane ki dal,344.67,19.8,43.11,9.5,General
Garlic chickpea soup (Lahasun aur chane ka shoraba),89.53,4.45,13.92,2.01,General
White sauce (thin),115.17,3.31,6.58,8.41,General
White sauce (medium),151.27,3.36,7.98,11.76,General
White sauce (thick),209.69,3.43,10.24,17.19,General
Cheese sauce,194.76,7.68,7.08,15.12,General
Egg sauce,146.85,5.97,5.88,11.08,General
Mushroom sauce,137.56,3.39,7.31,10.51,General
Mustard sauce,158.58,3.98,8.29,12.17,General
Brown sauce,109.18,11.92,5.38,23.67,General
Classic italian pasta,42.12,0.57,4.4,2.45,General
Pasta spinach sauce,85.46,1.76,1.76,7.9,General
Pasta cheese sauce,149.26,4.33,9.0,10.84,General
Mayonnaise,774.86,1.86,1.65,84.52,General
Low calorie quick mayonnaise,242.89,1.41,4.71,24.35,General
Thousand island dressing,407.87,1.37,4.49,42.87,General
Curd dip,79.95,5.04,7.95,3.36,General
Short crust pastry,422.1,6.11,44.72,23.98,General
Choux pastry,222.37,5.55,16.2,14.96,General
Flaky pastry,443.94,4.69,33.61,31.99,General
Sponge cake ,253.77,9.18,44.63,4.74,General
Glace icing,323.51,0.01,86.31,0.01,General
Royal icing,332.58,1.74,86.53,0.02,General
American frosting,257.57,1.05,67.48,0.01,General
Gum icing,223.07,5.94,53.19,0.0,General
Channa murmura premix,339.09,10.59,72.59,3.28,General
Cracked wheat and green gram dal premix (Dalia moong dal premix),362.16,15.89,64.75,5.11,General
Rice flakes and roasted channa ,333.4,10.57,71.94,2.94,General
Spinach soup in milk ,56.72,2.89,3.98,3.2,General
Vegetable soup,55.21,2.22,7.6,1.55,General
Mashed banana with milk,95.43,2.51,14.62,2.99,General
Poha with curd (Poha aur dahi),173.32,6.01,26.72,4.65,General
Potato with curd,73.18,3.19,12.01,1.33,General
Sweet wheat porridge (Sweet dalia),140.66,5.11,23.77,2.79,General
Vegetable khichdi/khichri,143.17,5.61,19.57,4.53,General
Moong dal mixture,158.84,4.62,33.93,1.0,General
Cracked wheat khichri/khichdi (Dalia khichri/khichdi),167.45,7.56,22.35,5.52,General
Stewed apple,91.93,0.17,22.49,0.37,General
Lemon squash (Nimbu ka squash),184.56,0.15,48.88,0.06,General
Orange squash (Santre ka squash),193.26,0.22,50.88,0.04,General
Lichi squash,198.33,0.3,51.96,0.08,General
Mango squash (Aam ka squash),194.66,0.17,50.96,0.17,General
Pineapple squash (Ananas ka squash),195.02,0.16,51.34,0.05,General
Lemon and ginger squash (Nimbu aur adrak ka squash),170.34,0.54,44.06,0.21,General
Apple jam (Seb ka murabba),188.79,0.14,48.56,0.32,General
Plum jam (Aloo bukhara jam),178.89,0.31,46.2,0.19,General
Pineapple jam ,149.18,0.32,38.27,0.15,General
Guava jelly (Amrood ki jelly),115.74,1.11,28.18,0.25,General
Orange marmalade (Santray ka murabba),104.17,0.66,25.94,0.13,General
Carrot murabba (Gajar ka murabba),175.24,0.32,45.6,0.16,General
Gooseberry marmalade (Amla murabba),123.16,0.14,32.34,0.03,General
Ginger candy (Adrak ki candy),195.71,0.69,50.38,0.27,General
Mango pickle (Aam ka achaar),192.12,1.6,8.11,17.89,General
Mixed vegetable pickle (Sabziyoon ka achaar),211.2,1.9,7.48,19.68,General
Sweet lemon pickle (Neembu ka meetha achaar),69.54,1.22,16.87,0.21,General
Plum chutney (Aloo bukhara ki chutney),177.11,0.47,44.95,0.29,General
Raw mango chutney (Kachhe aam/Kairi ki chutney),193.13,0.51,49.94,0.16,General
Tomato sauce,34.33,0.81,7.23,0.27,General
Tomato puree,20.62,0.75,3.68,0.25,General
Garam masala,254.21,9.89,26.2,10.97,General
Chat masala,222.58,8.19,23.87,9.91,General
Kashmiri masala,389.02,8.26,23.16,31.03,General
Rasam powder (Rasam masala),267.96,12.04,25.19,11.8,General
Sambar powder (Sambar masala),297.46,12.5,23.38,15.58,General
Tartare sauce,610.93,1.44,2.96,66.12,General
Barbeque sauce,121.93,0.96,20.46,4.51,General
Bread sauce,111.04,3.46,8.69,7.05,General
Green chilli sauce,46.06,1.25,7.36,0.27,General
Home made plain noodles,238.78,6.21,44.5,3.56,General
Dal moong,43.69,2.2,4.92,1.62,General
Cumin seeds baghar (Jeera baghar/tadka),736.81,3.34,5.22,78.77,General
Onion tomato baghar (Pyaaz tamatar ka tadka),137.52,1.26,6.17,11.98,General
Mustard seeds baghar (Mustard seed tadka),552.59,4.73,10.45,54.3,General
Hot cherry sauce,252.74,0.13,67.95,0.07,General
Apple jelly (Seb ki jelly),152.13,0.1,39.37,0.21,General
Marmalade (Murabba),143.76,0.23,37.64,0.04,General
Plum squash (Aloo bukhara squash),211.17,0.16,55.51,0.1,General
Lemon green chilli pickle (Nimboo aur hari mirch ka achaar),14.07,0.85,2.14,0.24,General
Brinjal pickle (Baingan ka achaar),139.01,2.24,4.23,12.98,General
Sweet and sour tomato pickle (Khatta meetha tamatar ka achaar),60.88,1.26,6.55,3.24,General
Jhatpat achar with carrot (Jhatpat achaar gajar ke saath),91.21,1.98,6.32,6.55,General
Tomato chutney (Tamatar ki chutney),176.07,0.97,31.85,6.01,General
Tomato ketchup,33.07,0.91,6.48,0.3,General
Bengal 5 Spice Blend (Panch Phoran),289.79,18.26,20.0,22.16,General
