name,calories,protein,carbs,fat,category
Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),106.61,1.82,4.99,8.62,General
Raw turnip with coconut ,132.15,1.8,5.78,11.47,General
Raw papaya with coconut (Papaya thoran),132.75,1.54,5.58,11.42,General
Stuffed okra (Bharwa bhindi),94.34,2.08,3.85,7.66,General
Stuffed round gourd (Bharwa tinde),72.8,1.1,4.02,5.75,General
Stuffed capsicum (Bharwa shimla mirch),90.94,1.34,8.26,5.7,General
Stuffed brinjal (Bharwa baingan),93.0,1.53,3.96,7.73,General
Stuffed tomatoes (Bharwa tamatar),93.35,3.28,6.19,6.06,General
Pea potato curry (Aloo matar),100.92,3.48,9.74,5.13,General
Pea paneer curry (Matar paneer),134.83,6.61,9.29,7.75,General
Pea mushroom curry (Matar mushroom),93.3,3.87,7.41,5.16,General
Pea curry (Matar ki sabzi),102.99,4.51,9.2,5.11,General
Pea vadi curry,101.95,4.64,8.9,5.08,General
Paneer curry,176.52,7.8,8.4,12.38,General
Lotus stem curry (Kamal kakdi curry),110.34,1.53,9.24,7.25,General
Gravy for kofta,125.59,1.75,6.31,10.35,General
Pea kofta curry (Matar kofta curry),595.66,2.01,4.17,63.39,General
Spinach kofta curry (Palak kofta curry),571.78,1.09,3.56,61.49,General
Paneer kofta curry,670.91,2.39,3.27,72.06,General
Lotus stem kofta curry (Kamal kakdi kofta curry),633.56,0.96,5.01,67.76,General
Raw banana kofta curry (Kela kofta curry),627.27,0.62,3.4,67.98,General
Cauliflower kofta curry (Phoolgobhi kofta curry),641.1,1.04,2.62,69.62,General
Cabbage kofta curry (Pattagobhi kofta curry),639.81,0.98,2.87,69.4,General
Ghiya/Lauki Kofta Curry,638.71,0.89,2.71,69.4,General
Spinach paneer kofta curry (Palak paneer kofta curry),606.03,1.43,2.94,65.41,General
Vegetarian egg kofta curry,627.41,1.33,4.26,67.24,General
Baked vegetables,88.99,3.67,8.44,4.44,General
Cauliflower musallam (Phoolgobhi musallam),58.83,1.89,4.48,3.55,General
Baked vegetables with spinach ,77.79,3.22,6.93,4.03,General
Baked potato with skin ,135.77,3.43,11.11,8.5,General
Shepherd's pie (vegetarian),135.63,5.04,12.03,7.3,General
Baked brinjal in tomato sauce,38.63,1.58,4.13,1.62,General
Dum aloo,682.33,0.7,3.33,74.01,General
Spinach paneer (Palak paneer),77.68,4.03,4.43,4.76,General
Methi chaman,475.62,1.54,2.78,50.91,General
Sarson ka saag,87.84,3.0,5.33,5.86,General
Jackfruit sabzi (Kathal ki sabzi),625.4,0.69,3.4,67.6,General
Avial,124.56,2.46,8.47,8.94,General
Al yakhani,147.54,2.86,4.65,13.14,General
Shahi paneer,156.5,5.06,6.64,12.34,General
Paneer in butter sauce,145.61,6.99,9.7,8.81,General
Methi malai paneer,194.98,7.34,8.15,14.76,General
Chilli paneer,777.51,2.1,3.31,84.01,General
Paneer makhana korma,775.82,3.24,4.63,82.76,General
Kadhai Paneer,107.99,4.33,7.34,6.81,General
Roghan josh,139.59,9.56,4.93,9.02,General
Spinach mutton (Palak mutton),80.32,5.74,3.45,4.71,General
Pea keema curry (Matar keema ki sabzi),133.0,8.43,6.24,8.14,General
Keema kofta curry,154.45,9.77,5.64,10.39,General
Kashmiri mutton koftas (Gushtaba),97.42,6.33,3.04,6.77,General
Mutton yakhni,104.13,8.27,0.84,7.7,General
Chicken yakhni,99.0,10.66,0.78,6.1,General
Mutton do piaza,183.3,9.39,4.14,14.41,General
Mutton chops,663.64,4.03,1.48,71.31,General
Shammi kebab,685.69,4.52,3.54,72.61,General
Scotch egg,676.89,4.05,1.91,72.62,General
